Random/Known,max_iterations,tabu_size,num_cities,coordinates,execution_time,memory_used,best_route,best_distance
Known,5000,200,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",2.403820276260376,115.6796875,[9 0 5 1 3 8 7 2 4 6],274.65159636676145
Known,10,10,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.02280116081237793,117.89453125,[ 3  8 11  2  7 16 18 10  5  0  9 17 14  4  6 15 19 12 13  1],466.9090996358368
Known,100,10,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.22788119316101074,105.5859375,[ 2 14 17  9 19 12  0 10  5 18 16 13  1  3  7  8 15  6  4 11],373.75188772784287
Known,1000,10,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",2.258049964904785,106.83984375,[15  8 19 12  0 10  5 18 16 13  1  3  7  2 17 14 11  4  6  9],358.878595050389
Known,5000,10,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",11.137588024139404,108.2265625,[17  2  7  8  3  1 13 16 18  5 10  0 12 19 15  9  6  4 11 14],345.1731913274446
Known,10,50,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.023334026336669922,110.04296875,[18 16  8 11  2 14 17  4  6 15  9  0  5 10 12 19  3  7  1 13],447.8360108576088
Known,100,50,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.240189790725708,111.64453125,[ 0 10  5 18 16 13  1  3  8  7  2 17 14 11  4  6  9 15 19 12],345.17319132744456
Known,1000,50,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",2.4218153953552246,113.25390625,[17 14 11  4  6  9 15 19 12  0 10  5 18 16 13  1  3  8  7  2],345.1731913274446
Known,5000,50,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",12.1182222366333,113.83984375,[ 3  1 13 16 18  5 10  0 12 19 15  9  6  4 11 14 17  2  7  8],345.17319132744467
Known,10,100,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.023064374923706055,116.953125,[13 16  3  7  8 19 12 15  6  4 14 11 18  5 10  0  9 17  2  1],543.6688167794122
