max_iterations,min_tabu_size,max_tabu_size,num_cities,execution_time,memory_used,best_distance
10,10,150,20,0.01,118.61,358.88
100,10,150,20,0.14,121.32,358.88
500,10,150,20,0.84,123.93,345.17
1000,10,150,20,1.71,126.39,345.17
3000,10,150,20,5.21,129.31,345.17
10,10,200,20,0.01,131.87,358.88
100,10,200,20,0.15,134.6,358.88
500,10,200,20,0.9,137.16,345.17
1000,10,200,20,1.86,139.79,345.17
3000,10,200,20,5.7,142.49,345.17
10,10,300,20,0.01,145.29,358.88
100,10,300,20,0.15,147.96,358.88
500,10,300,20,1.03,150.55,345.17
1000,10,300,20,2.19,153.05,345.17
3000,10,300,20,6.99,155.63,345.17
10,20,50,20,0.01,158.14,358.88
100,20,50,20,0.15,161.14,358.88
500,20,50,20,0.77,163.66,358.88
1000,20,50,20,1.52,166.21,358.88
3000,20,50,20,4.64,168.75,358.88
10,20,100,20,0.02,171.48,358.88
100,20,100,20,0.16,174.11,358.88
500,20,100,20,0.97,176.72,358.88
1000,20,100,20,1.67,179.64,358.88
3000,20,100,20,5.19,182.16,358.88
10,20,150,20,0.01,184.73,358.88
100,20,150,20,0.15,187.31,358.88
500,20,150,20,0.89,189.88,345.17
1000,20,150,20,1.81,192.5,345.17
3000,20,150,20,5.72,195.3,345.17
10,20,200,20,0.01,197.83,358.88
100,20,200,20,0.16,200.55,358.88
500,20,200,20,1.03,203.3,345.17
1000,20,200,20,2.21,205.83,345.17
3000,20,200,20,6.67,208.36,345.17
10,20,300,20,0.01,211.16,358.88
100,20,300,20,0.15,213.67,358.88
500,20,300,20,1.26,216.29,345.17
1000,20,300,20,2.39,218.88,345.17
3000,20,300,20,7.28,221.41,345.17
10,30,50,20,0.01,223.91,358.88
100,30,50,20,0.15,226.81,358.88
500,30,50,20,0.78,229.4,358.88
1000,30,50,20,1.61,232.01,358.88
3000,30,50,20,4.98,234.87,358.88
10,30,100,20,0.01,237.36,358.88
100,30,100,20,0.15,240.06,358.88
500,30,100,20,0.88,242.69,358.88
1000,30,100,20,1.71,245.44,358.88
3000,30,100,20,5.33,248.04,358.88
10,30,150,20,0.01,250.63,358.88
100,30,150,20,0.16,253.15,358.88
500,30,150,20,0.97,255.71,345.17
1000,30,150,20,1.97,258.28,345.17
3000,30,150,20,5.75,261.03,345.17
10,30,200,20,0.01,263.65,358.88
100,30,200,20,0.18,266.3,358.88
500,30,200,20,0.96,268.86,345.17
1000,30,200,20,2.03,271.45,345.17
3000,30,200,20,6.11,274.02,345.17
10,30,300,20,0.01,276.92,358.88
100,30,300,20,0.15,279.5,358.88
500,30,300,20,1.19,282.12,345.17
1000,30,300,20,2.16,284.68,345.17
3000,30,300,20,7.08,287.27,345.17
10,50,50,20,0.01,289.77,358.88
100,50,50,20,0.14,292.62,358.88
500,50,50,20,0.73,295.23,358.88
1000,50,50,20,1.49,298.04,358.88
3000,50,50,20,4.6,300.65,358.88
10,50,100,20,0.01,303.14,358.88
100,50,100,20,0.15,305.8,358.88
500,50,100,20,0.84,308.32,358.88
1000,50,100,20,1.68,311.22,358.88
3000,50,100,20,5.04,313.8,358.88
10,50,150,20,0.01,316.34,358.88
100,50,150,20,0.16,318.91,358.88
500,50,150,20,0.92,321.67,345.17
1000,50,150,20,1.85,324.23,345.17
3000,50,150,20,5.3,327.04,345.17
10,50,200,20,0.01,329.7,358.88
100,50,200,20,0.14,332.3,358.88
500,50,200,20,0.89,334.88,345.17
1000,50,200,20,1.87,337.61,345.17
3000,50,200,20,5.82,340.14,345.17
10,50,300,20,0.01,342.92,358.88
100,50,300,20,0.15,345.61,358.88
500,50,300,20,0.96,348.29,345.17
1000,50,300,20,2.12,350.91,345.17
3000,50,300,20,7.2,353.41,345.17
10,100,50,20,0.02,355.98,358.88
100,100,50,20,0.14,358.72,358.88
500,100,50,20,0.72,361.48,358.88
1000,100,50,20,1.54,364.04,358.88
3000,100,50,20,4.68,366.57,358.88
10,100,100,20,0.01,369.11,358.88
100,100,100,20,0.15,371.82,358.88
500,100,100,20,0.83,374.33,358.88
1000,100,100,20,1.74,377.12,358.88
3000,100,100,20,5.08,379.8,358.88
10,100,150,20,0.01,382.37,358.88
100,100,150,20,0.15,385.08,358.88
500,100,150,20,0.86,387.7,345.17
1000,100,150,20,1.81,390.39,345.17
3000,100,150,20,5.92,392.99,345.17
10,100,200,20,0.01,395.59,358.88
100,100,200,20,0.16,398.15,358.88
500,100,200,20,1.02,400.73,345.17
1000,100,200,20,2.08,403.71,345.17
3000,100,200,20,6.27,406.4,345.17
10,100,300,20,0.01,408.93,358.88
100,100,300,20,0.19,411.54,358.88
500,100,300,20,1.05,415.54,345.17
1000,100,300,20,2.42,417.67,345.17
3000,100,300,20,7.29,420.49,345.17
10,10,50,50,0.19,87.79,613.79
100,10,50,50,1.98,96.7,608.46
500,10,50,50,10.85,100.55,608.46
1000,10,50,50,22.66,104.4,608.46
3000,10,50,50,67.78,107.41,608.46
10,10,100,50,0.21,111.0,613.79
100,10,100,50,2.27,114.81,608.46
500,10,100,50,12.07,118.3,608.46
1000,10,100,50,24.12,121.59,608.46
3000,10,100,50,71.08,125.44,608.46
10,10,150,50,0.21,128.75,613.79
100,10,150,50,2.14,132.41,608.46
500,10,150,50,12.29,136.14,608.46
1000,10,150,50,25.0,139.68,608.46
3000,10,150,50,74.74,143.23,608.46
10,10,200,50,0.2,146.65,613.79
100,10,200,50,2.21,150.93,608.46
500,10,200,50,12.7,153.91,608.46
1000,10,200,50,27.05,157.74,608.46
3000,10,200,50,74.31,161.56,608.46
10,10,300,50,0.19,164.8,613.79
100,10,300,50,2.13,168.18,608.46
500,10,300,50,13.17,172.18,608.46
1000,10,300,50,27.39,175.67,608.46
3000,10,300,50,84.41,179.21,608.46
10,20,50,50,0.21,182.86,613.79
100,20,50,50,2.56,186.25,608.46
500,20,50,50,11.35,189.81,608.46
1000,20,50,50,22.54,193.56,608.46
3000,20,50,50,71.37,196.95,608.46
10,20,100,50,0.21,200.39,613.79
100,20,100,50,2.19,204.18,608.46
500,20,100,50,12.01,208.34,608.46
1000,20,100,50,23.44,211.5,608.46
3000,20,100,50,71.17,214.96,608.46
10,20,150,50,0.2,218.91,613.79
100,20,150,50,2.2,222.35,608.46
500,20,150,50,12.5,225.89,608.46
1000,20,150,50,24.66,229.79,608.46
3000,20,150,50,75.79,232.91,608.46
10,20,200,50,0.21,236.44,613.79
100,20,200,50,2.21,240.34,608.46
500,20,200,50,12.78,243.64,608.46
1000,20,200,50,26.23,247.27,608.46
3000,20,200,50,78.68,250.68,608.46
10,20,300,50,0.2,254.49,613.79
100,20,300,50,2.18,257.91,608.46
500,20,300,50,12.65,261.33,608.46
1000,20,300,50,26.72,265.12,608.46
3000,20,300,50,82.37,268.4,608.46
10,30,50,50,0.2,271.95,613.79
100,30,50,50,2.13,276.0,608.46
500,30,50,50,10.8,279.27,608.46
1000,30,50,50,21.2,282.96,608.46
3000,30,50,50,63.82,286.61,608.46
10,30,100,50,0.2,290.1,613.79
100,30,100,50,2.09,293.56,608.46
500,30,100,50,11.07,297.38,608.46
1000,30,100,50,22.34,300.74,608.46
