Random/Known,max_iterations,min_tabu_size,max_tabu_size,num_cities,coordinates,execution_time,memory_used,best_route,best_distance
Known,10,10,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0019938945770263,86.09765625,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,100,10,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0197846889495849,94.07421875,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,500,10,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.1027238368988037,96.36328125,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,1000,10,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.2091212272644043,98.7421875,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,3000,10,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.624122142791748,100.89453125,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,10,10,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0019941329956054,103.28125,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,100,10,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0210738182067871,105.44140625,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,500,10,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.1196193695068359,107.8828125,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,1000,10,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.2434253692626953,110.0234375,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,3000,10,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.7264602184295654,112.39453125,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,10,10,150,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0019984245300292,114.609375,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,100,10,150,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0204133987426757,117.0078125,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,500,10,150,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.1316826343536377,119.19921875,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,1000,10,150,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.2689642906188965,121.54296875,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,3000,10,150,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.8293371200561523,123.8125,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,10,10,200,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0019974708557128,125.94140625,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,100,10,200,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.028548240661621,128.27734375,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,500,10,200,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.1422839164733886,130.6640625,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,1000,10,200,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.2962598800659179,132.96484375,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,3000,10,200,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.9318170547485352,135.1875,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,10,10,300,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0019958019256591,137.46484375,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,100,10,300,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0210101604461669,139.65625,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,500,10,300,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.16109299659729,141.96875,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,1000,10,300,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.3508636951446533,144.48828125,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,3000,10,300,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",1.1145694255828855,146.9140625,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,10,20,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0025615692138671,149.0,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,100,20,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0190205574035644,151.1796875,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,500,20,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.1026825904846191,153.421875,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,1000,20,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.2077460289001464,155.6015625,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,3000,20,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.6285243034362793,157.91796875,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,10,20,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0019986629486083,160.2578125,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,100,20,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0202233791351318,162.54296875,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,500,20,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.1203110218048095,164.85546875,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,1000,20,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.2404761314392089,166.95703125,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,3000,20,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.7380986213684082,169.234375,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,10,20,150,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0009942054748535,171.3828125,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,100,20,150,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0201883316040039,173.74609375,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,500,20,150,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.1328482627868652,175.98046875,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,1000,20,150,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.2739412784576416,178.328125,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,3000,20,150,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.8617846965789795,180.6953125,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
Known,10,20,200,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0019938945770263,183.02734375,"[2, 4, 6, 9, 0, 5, 1, 3, 8, 7]",274.65159636676145
